s.no,topic,title,url
1,Android Development,The Complete Android N Developer Course,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/complete-android-n-developer-course/
2,Android Development,Android Material Design Tutorial,https://www.youtube.com/playlist?list=PLonJJ3BVjZW6CtAMbJz1XD8ELUs1KXaTD
3,Android Development,Android Development for Beginners,https://www.udacity.com/course/android-development-for-beginners--ud837
4,Android Development,Training for Android developers,https://developer.android.com/training/index.html
5,Android Development,Tutorials about development for Android,http://www.vogella.com/tutorials/android.html
6,Android Development,Android Tutorial for Beginners,https://www.youtube.com/playlist?list=PLonJJ3BVjZW6hYgvtkaWvwAVvOFB7fkLa
7,Intro to Programming,Web Development Tutorials For Beginners,https://www.youtube.com/playlist?list=PLoYCgNOIyGAB_8_iq1cL8MVeun7cB6eNc
8,Intro to Programming,Web Development 101,https://www.theodinproject.com/courses/web-development-101
9,Intro to Programming,Introduction to Computer Science using Java,http://chortle.ccsu.edu/java5/index.html
10,Intro to Programming,The Complete Web Developer Course 2.0,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/the-complete-web-developer-course-2
11,Intro to Programming,Programming for Beginners,http://paqmind.com/courses/programming-beginner
12,Alexa Skills Kit,Building Alexa Skills from Scratch,https://www.youtube.com/playlist?list=PL2KJmkHeYQTNwlZqLh_ptZhSNZf93e8Sp
13,Alexa Skills Kit,Learn to Build Amazon Alexa Skills & Converse with Machines,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/build-your-rad-personal-assistant-with-amazon-alexa-custom-skills/
14,Alexa Skills Kit,Developing Alexa Skills,https://www.youtube.com/playlist?list=PL2KJmkHeYQTO6ci5KF08mvHYdAZu2jgkJ
15,Alexa Skills Kit,Developing Alexa Skills for Amazon Echo,https://www.pluralsight.com/courses/amazon-echo-developing-alexa-skills
16,Adonis Js,Getting Started With AdonisJS 4.0,https://www.youtube.com/playlist?list=PLillGF-RfqbY6wY9yZjCpSMzvhn-icuG6
17,Adonis Js,Adonis 4: From Scratch to Saas,https://www.bahdcasts.com/course/adonis-4-from-scratch-to-saas
